,index,id,attach_dist,is_attached,is_contained,is_matched,match_ids,match_overlaps,pred_num_pix,pred_sum_pix,true_num_pix,true_sum_pix,ke,true_ke
66,103,11,1.1225208689501278,True,0,1,[32  3],[0.7380952  0.00237906],36,9.3949175,37,6.968027591705322,11.31917769650379,19.244299246389634
67,106,6,0.3000030517578125,True,1,1,[15 14],[0.7753623 0.0078125],119,25.784868,126,37.806427001953125,31.066106313682468,45.54034374405664
68,106,11,0.3000030517578125,True,1,1,[11],[0.86440676],56,18.31496,54,20.05767822265625,22.06621744546546,51.01547114024656
69,109,2,2.4920106717833916,True,1,1,[24  3],[0.64204544 0.00079491],133,24.256115,156,23.399124145507812,29.22423489122506,31.650775238865826
70,109,3,262.5863858345192,False,1,1,[7],[0.00574346],9,6.8439946,-1,-1.0,8.24577664754477,-1.0
71,113,10,0.899993896484375,True,1,1,[45],[0.8803419],109,27.284792,111,31.551700592041016,32.87324330892908,42.3554055900607
72,115,4,0.5196117185536361,True,1,1,[12],[0.8487395],106,18.48559,114,22.75322151184082,22.27179515792663,30.397050911948078
73,115,5,0.29998779296875,True,0,1,[10],[0.7173913],36,13.111912,43,14.285066604614258,15.797484064676677,20.28797703692244
74,117,3,2.5807025467501825,True,0,1,[18],[0.5362319],40,18.387405,66,25.827924728393555,22.15350047651544,44.01517456647509
75,120,6,0.300048828125,True,0,1,[16  0],[0.7196262  0.00233918],95,24.145819,89,18.296737670898438,29.09134784376765,26.609588163296856
76,121,6,0.300048828125,True,1,1,[33],[0.66071427],94,23.810656,92,31.351587295532227,28.687536860086833,41.414915885235054
77,122,10,40.80885138158299,False,0,1,[24],[0.8125],260,68.00107,262,101.24211120605469,81.92899772919804,128.12416130830977
78,122,11,0.9949607554195525,True,1,1,[15  8],[0.7164179  0.00119546],112,24.143581,118,27.5718936920166,29.088652277567302,41.884597865194856
79,123,2,0.4243007545635366,True,1,1,[3 6],[0.6942359  0.00776731],5847,1372.8511,6116,1777.62353515625,1654.0374388177713,2214.9353765279807
80,124,5,1.0816890820215157,True,0,1,[14],[0.52380955],37,16.239891,59,22.594589233398438,19.566133797886863,34.083700910491594
81,124,11,0.29998779296875,True,1,1,[15 12],[0.8181818  0.00738007],149,40.00609,151,35.12901306152344,48.20010633353728,38.350579001309775
82,124,12,0.29998779296875,True,0,1,[60],[0.8484849],93,20.695894,90,23.73025131225586,24.93481233895543,24.682457928283434
83,125,8,0.2999267578125,True,1,1,[ 7 15  6  5],[0.30973452 0.27731094 0.20454545 0.00383142],109,25.399923,-1,-1.0,30.6023172585361,-1.0
84,126,12,0.3000030517578125,True,1,1,[26 24],[0.9052632  0.01851852],95,23.186646,86,25.181997299194336,27.935717479292173,28.224026455374833
85,126,13,0.29998779296875,True,1,1,[22  5],[0.7627119 0.0030722],56,14.729958,48,17.141630172729492,17.746936844055913,19.92421486715089
86,128,9,0.29998779296875,True,0,1,[8],[0.60169494],77,14.503406,112,32.915771484375,17.473982615643237,44.32370663089881
87,129,4,0.29998779296875,True,0,1,[9 7],[0.75      0.0015213],80,16.67525,88,26.133045196533203,20.090661565941502,36.65696595435503
88,133,2,1.774803301580943,True,0,1,[37],[0.71428573],43,15.01065,41,19.655961990356445,18.085120097700372,25.45480313080233
89,135,0,0.3000030517578125,True,1,1,[16  3],[0.7254902  0.00086919],78,19.277739,98,28.921627044677734,23.22619104959879,36.769796154326535
90,135,6,0.5195764834746849,True,1,1,[12],[0.8125],143,32.3914,147,41.1718635559082,39.02578238981316,48.29932310182504
91,135,9,11.132393577707974,False,1,1,[24],[0.11627907],5,2.3869245,-1,-1.0,2.8758126569081504,-1.0
92,139,7,0.4243115434708169,True,0,1,[33 32],[0.55       0.13513513],71,21.257566,53,24.85016632080078,25.611525845814903,54.60242952029191
93,140,6,0.600006103515625,True,1,1,[16  5],[0.5689655  0.00301205],76,15.289718,106,24.781707763671875,18.4213465954884,38.89270781134359
94,142,6,0.4242575950931961,True,0,1,[32 30],[0.8148148  0.05627706],230,51.43059,211,42.32866287231445,61.96456817259272,49.20627433999066
95,143,8,2.1633358437114008,True,1,1,[8],[0.70212764],38,11.820886,42,12.153596878051758,14.242030913571279,28.54772956957086
96,146,5,0.4243115434708169,True,1,1,[11 10],[7.364341e-01 7.069636e-04],110,24.448519,114,25.93484878540039,29.456046690423808,36.01273114582289
97,147,5,0.29998779296875,True,1,1,[28  2],[0.3472222  0.00195008],30,11.62128,-1,-1.0,14.001541827098434,-1.0
98,148,0,0.29998779296875,True,1,1,[22  2],[0.6885246 0.0008058],104,18.693832,102,20.496828079223633,22.52268963549511,23.208555360826555
99,151,11,0.2999267578125,True,0,1,[11 10],[0.8445946  0.00094103],134,24.690926,139,27.746902465820312,29.74810313029462,36.760721590125634
100,152,0,0.4242575950931961,True,1,1,[ 3 27 20 12 26 18],"[5.31786680e-01 4.17662337e-02 1.67978997e-03 1.25984254e-03
 3.15092941e-04 1.04253544e-04]",9521,1904.2393,10815,2233.798828125,2294.264166039157,2955.46968210049
101,156,12,0.2999267578125,True,1,1,[11 10],[0.80246913 0.1025641 ],76,16.491917,70,17.254114151000977,19.869779104209808,21.467505107471776
102,158,10,2.1213246594364428,True,0,1,[55 23],[0.33333334 0.2       ],37,11.4133415,-1,-1.0,13.751013882188913,-1.0
103,158,11,21.181360594190835,False,1,1,[27 19 54 20  5],[7.1337581e-01 1.8578064e-02 9.6685085e-03 5.0597978e-03 3.5273368e-04],2170,442.97333,2134,562.30029296875,533.7028043815889,724.5621703172649
104,158,13,356.4892910253897,False,0,1,[45  0],[0.10884354 0.00023436],21,4.3974657,-1,-1.0,5.298151452857328,-1.0
105,159,12,0.3000030517578125,True,0,1,[32],[0.7578125],108,26.24943,117,24.92600440979004,31.625818918986496,25.42710784791973
106,160,0,0.300018310546875,True,1,1,[39],[0.75886524],120,40.328197,128,42.235443115234375,48.5881897340338,49.206180787782394
107,161,3,1.2369442704051028,True,0,1,[16],[0.5121951],27,9.0042925,35,13.357614517211914,10.848545166383307,26.075649887270302
108,162,2,0.3000030517578125,True,1,1,[15],[0.81751823],128,30.117487,121,34.397216796875,36.286128859922115,42.2326834497337
109,162,3,242.36971420843736,False,1,0,[],[],6,1.3157114,-1,-1.0,1.5851944325918177,-1.0
110,164,5,1.5296780254874076,True,0,1,[7],[0.884058],63,11.029337,67,15.778780937194824,13.28835774617023,22.00118927150696
111,164,7,0.29998779296875,True,1,1,[19  0],[0.616      0.00472441],107,27.300413,95,25.615493774414062,32.892064014113096,32.288804417583606
112,165,8,0.29998779296875,True,1,1,[31  0],[0.8689655 0.0036452],137,33.011387,134,42.43437957763672,39.77275526667216,48.17997854975194
113,165,12,0.29998779296875,True,1,1,[24],[0.7771429],145,34.29683,166,37.02153015136719,41.321480992328695,41.68712162719269
114,166,2,0.29999542236328125,True,1,1,[13],[0.8152174],168,37.565395,166,45.18334197998047,45.25951247617423,51.68073960360175
115,166,3,0.300048828125,True,0,1,[16  0],[0.7647059  0.00505902],130,30.011467,140,37.77204895019531,36.1583939517837,51.88609605594608
116,168,15,14.885587278292812,False,0,0,[],[],4,0.5743778,-1,-1.0,0.6920214158942901,-1.0
117,172,3,113.08608949553681,False,1,1,[16],[0.725],233,41.82364,250,60.63215255737305,50.38992640483811,69.64505361961636
